Governorate,Cases,Deaths,Recoveries,Active Cases,Date,Today's Cases,Vaccine Ratio,The Proportion Of Fully Vaccinated
#adm1+name,#affected+infected+confirmed,#affected+infected+dead,#affected+infected+recovered,#affected+infected+active,#date,#affected+infected+today,,
,Number Of Cases,Death Cases,Recovery Cases,Active Cases,,Today's Cases,Vaccinated Rate,The Proportion Of Fully Vaccinated
Salfit Governorate,"9,418",103,"9,270",45,2022-01-02,,0.64,0.55
Tubas Governorate,"6,499",74,"6,354",71,2022-01-02,,0.62,0.56
Jericho Governorate,"5,456",59,"5,361",36,2022-01-02,,0.65,0.59
Gaza strip,"190,292","1,699","187,001","1,592",2021-12-30,124,0.37,0.29
Hebron Governorate,"50,369",643,"49,230",496,2021-12-30,22,0.61,0.56
Nablus Governorate,"45,142",556,"44,386",200,2021-12-30,17,0.61,0.54
Ramallah and al-Bireh Governorate,"39,550",338,"38,708",504,2021-12-30,32,0.82,0.74
East Jerusalem,"30,808",269,"30,139",400,2021-12-30,0,--,--
Jenin Governorate,"26,324",333,"25,807",184,2021-12-30,11,0.56,0.51
Tulkarm Governorate,"22,867",309,"22,485",73,2021-12-30,11,0.65,0.59
Bethlehem Governorate,"20,736",258,"20,074",404,2021-12-30,26,0.75,0.68
Jerusalem Governorate,"12,180",97,"11,631",452,2021-12-30,2,0.41,0.38
Qalqilya Governorate,"11,096",194,"10,891",11,2021-12-30,0,0.54,0.5
Salfit Governorate,"9,408",103,"9,265",40,2021-12-30,3,0.64,0.55
Tubas Governorate,"6,482",73,"6,331",78,2021-12-30,12,0.62,0.56
Jericho Governorate,"5,449",59,"5,351",39,2021-12-30,4,0.65,0.58
Gaza strip,"190,082","1,696","186,766","1,620",2021-12-28,103,0.37,0.29
Hebron Governorate,"50,297",640,"49,145",512,2021-12-28,39,0.61,0.55
Nablus Governorate,"45,112",555,"44,355",202,2021-12-28,21,0.61,0.54
Ramallah and al-Bireh Governorate,"39,467",338,"38,556",573,2021-12-28,34,0.82,0.73
East Jerusalem,"30,808",269,"30,139",400,2021-12-28,0,--,--
Jenin Governorate,"26,290",332,"25,764",194,2021-12-28,23,0.56,0.51
Tulkarm Governorate,"22,844",307,"22,467",70,2021-12-28,8,0.65,0.59
Bethlehem Governorate,"20,684",256,"19,990",438,2021-12-28,42,0.75,0.68
Jerusalem Governorate,"12,171",97,"11,624",450,2021-12-28,4,0.41,0.38
Qalqilya Governorate,"11,096",194,"10,890",12,2021-12-28,1,0.54,0.5
Salfit Governorate,"9,401",103,"9,264",34,2021-12-28,6,0.64,0.54
Tubas Governorate,"6,454",73,"6,320",61,2021-12-28,11,0.62,0.56
Jericho Governorate,"5,442",59,"5,347",36,2021-12-28,4,0.65,0.58
Gaza strip,"189,979","1,693","186,686","1,600",2021-12-27,142,0.37,0.29
Hebron Governorate,"50,258",640,"49,099",519,2021-12-27,77,0.61,0.55
Nablus Governorate,"45,091",555,"44,348",188,2021-12-27,27,0.61,0.54
Ramallah and al-Bireh Governorate,"39,433",337,"38,528",568,2021-12-27,53,0.82,0.73
East Jerusalem,"30,808",269,"30,139",400,2021-12-27,452,--,--
Jenin Governorate,"26,267",331,"25,736",200,2021-12-27,11,0.56,0.51
Tulkarm Governorate,"22,836",307,"22,465",64,2021-12-27,10,0.64,0.59
Bethlehem Governorate,"20,642",255,"19,922",465,2021-12-27,41,0.75,0.68
Jerusalem Governorate,"12,167",97,"11,620",450,2021-12-27,3,0.41,0.38
Qalqilya Governorate,"11,095",194,"10,890",11,2021-12-27,0,0.53,0.5
Salfit Governorate,"9,395",103,"9,262",30,2021-12-27,5,0.64,0.54
Tubas Governorate,"6,443",72,"6,301",70,2021-12-27,6,0.62,0.56
Jericho Governorate,"5,438",59,"5,345",34,2021-12-27,6,0.65,0.58
Gaza strip,"189,837","1,691","186,565","1,581",2021-12-26,20,0.37,0.29
Hebron Governorate,"50,181",640,"49,081",460,2021-12-26,35,0.61,0.55
Nablus Governorate,"45,064",553,"44,330",181,2021-12-26,12,0.61,0.54
Ramallah and al-Bireh Governorate,"39,380",337,"38,488",555,2021-12-26,38,0.81,0.72
East Jerusalem,"30,356",268,"30,088",0,2021-12-26,0,--,--
Jenin Governorate,"26,256",331,"25,727",198,2021-12-26,23,0.56,0.51
Tulkarm Governorate,"22,826",307,"22,465",54,2021-12-26,6,0.64,0.59
Bethlehem Governorate,"20,601",255,"19,888",458,2021-12-26,22,0.75,0.68
Jerusalem Governorate,"11,764",97,"11,617",50,2021-12-26,0,0.41,0.38
Qalqilya Governorate,"11,095",194,"10,890",11,2021-12-26,3,0.53,0.5
Salfit Governorate,"9,390",103,"9,259",28,2021-12-26,5,0.64,0.54
Tubas Governorate,"6,437",72,"6,292",73,2021-12-26,11,0.62,0.56
Jericho Governorate,"5,432",59,"5,344",29,2021-12-26,1,0.65,0.58
Gaza strip,"189,553","1,679","186,181","1,693",2021-12-22,110,0.36,0.29
Hebron Governorate,"50,061",639,"48,845",577,2021-12-22,45,0.61,0.54
Nablus Governorate,"45,004",551,"44,268",185,2021-12-22,12,0.61,0.53
Ramallah and al-Bireh Governorate,"39,220",335,"38,273",612,2021-12-22,44,0.8,0.71
East Jerusalem,"30,356",268,"30,088",0,2021-12-22,0,--,--
Jenin Governorate,"26,184",329,"25,662",193,2021-12-22,19,0.56,0.49
Tulkarm Governorate,"22,807",306,"22,448",53,2021-12-22,5,0.64,0.57
Bethlehem Governorate,"20,446",254,"19,657",535,2021-12-22,46,0.74,0.67
Jerusalem Governorate,"11,751",97,"11,602",52,2021-12-22,2,0.41,0.37
Qalqilya Governorate,"11,090",194,"10,888",8,2021-12-22,3,0.53,0.49
Salfit Governorate,"9,381",101,"9,249",31,2021-12-22,0,0.63,0.53
Tubas Governorate,"6,408",72,"6,277",59,2021-12-22,1,0.61,0.56
Jericho Governorate,"5,421",59,"5,341",21,2021-12-22,4,0.65,0.58
Gaza strip,"189,443","1,679","186,031","1,733",2021-12-21,121,0.36,0.29
Hebron Governorate,"50,016",638,"48,789",589,2021-12-21,39,0.61,0.54
Nablus Governorate,"44,992",551,"44,250",191,2021-12-21,20,0.61,0.53
Ramallah and al-Bireh Governorate,"39,176",335,"38,218",623,2021-12-21,52,0.8,0.71
East Jerusalem,"30,356",268,"30,088",0,2021-12-21,0,--,--
Jenin Governorate,"26,165",328,"25,646",191,2021-12-21,25,0.56,0.49
Tulkarm Governorate,"22,802",306,"22,445",51,2021-12-21,7,0.64,0.57
Bethlehem Governorate,"20,400",254,"19,590",556,2021-12-21,46,0.74,0.66
Jerusalem Governorate,"11,749",97,"11,601",51,2021-12-21,5,0.4,0.37
Qalqilya Governorate,"11,087",194,"10,884",9,2021-12-21,0,0.53,0.49
Salfit Governorate,"9,381",101,"9,248",32,2021-12-21,7,0.63,0.52
Tubas Governorate,"6,407",72,"6,274",61,2021-12-21,8,0.61,0.56
Jericho Governorate,"5,417",59,"5,341",17,2021-12-21,3,0.65,0.58
Gaza strip,"189,322","1,674","185,931","1,717",2021-12-20,135,0.36,0.29
Hebron Governorate,"49,977",636,"48,725",616,2021-12-20,46,0.6,0.53
Nablus Governorate,"44,972",551,"44,239",182,2021-12-20,21,0.61,0.53
Ramallah and al-Bireh Governorate,"39,124",335,"38,198",591,2021-12-20,71,0.8,0.7
East Jerusalem,"30,356",268,"30,088",0,2021-12-20,0,--,--
Jenin Governorate,"26,140",328,"25,632",180,2021-12-20,20,0.56,0.48
Tulkarm Governorate,"22,795",306,"22,441",48,2021-12-20,12,0.64,0.57
Bethlehem Governorate,"20,354",254,"19,542",558,2021-12-20,50,0.74,0.66
Jerusalem Governorate,"11,744",97,"11,596",51,2021-12-20,4,0.4,0.37
Qalqilya Governorate,"11,087",194,"10,884",9,2021-12-20,0,0.53,0.48
Salfit Governorate,"9,374",101,"9,248",25,2021-12-20,4,0.63,0.52
Tubas Governorate,"6,399",72,"6,258",69,2021-12-20,22,0.61,0.56
Jericho Governorate,"5,414",59,"5,338",17,2021-12-20,4,0.65,0.58
Gaza strip,"189,187","1,671","185,861","1,655",2021-12-19,75,0.36,0.29
Hebron Governorate,"49,931",636,"48,720",575,2021-12-19,45,0.6,0.53
Nablus Governorate,"44,951",551,"44,221",179,2021-12-19,21,0.6,0.53
Ramallah and al-Bireh Governorate,"39,053",335,"38,158",560,2021-12-19,80,0.8,0.7
East Jerusalem,"30,356",268,"30,088",0,2021-12-19,0,--,--
Jenin Governorate,"26,120",326,"25,623",171,2021-12-19,24,0.56,0.48
Tulkarm Governorate,"22,783",306,"22,437",40,2021-12-19,14,0.64,0.57
Bethlehem Governorate,"20,304",254,"19,521",529,2021-12-19,68,0.74,0.65
Jerusalem Governorate,"11,740",97,"11,592",51,2021-12-19,1,0.4,0.37
Qalqilya Governorate,"11,087",194,"10,882",11,2021-12-19,0,0.53,0.48
Salfit Governorate,"9,370",101,"9,246",23,2021-12-19,3,0.63,0.52
Tubas Governorate,"6,377",72,"6,253",52,2021-12-19,9,0.61,0.55
Jericho Governorate,"5,410",59,"5,338",13,2021-12-19,2,0.65,0.58
Gaza strip,"188,922","1,669","185,536","1,717",2021-12-16,135,0.36,0.28
Hebron Governorate,"49,807",629,"48,510",668,2021-12-16,57,0.6,0.52
Nablus Governorate,"44,910",551,"44,175",184,2021-12-16,20,0.6,0.53
Ramallah and al-Bireh Governorate,"38,902",335,"38,027",540,2021-12-16,61,0.8,0.7
East Jerusalem,"30,356",268,"30,088",0,2021-12-16,0,--,--
Jenin Governorate,"26,073",326,"25,579",168,2021-12-16,15,0.55,0.47
Tulkarm Governorate,"22,765",306,"22,416",43,2021-12-16,1,0.64,0.55
Bethlehem Governorate,"20,148",252,"19,373",523,2021-12-16,50,0.74,0.65
Jerusalem Governorate,"11,730",97,"11,583",50,2021-12-16,5,0.4,0.37
Qalqilya Governorate,"11,087",194,"10,881",12,2021-12-16,0,0.53,0.48
Salfit Governorate,"9,366",101,"9,242",23,2021-12-16,0,0.63,0.52
Tubas Governorate,"6,357",71,"6,237",49,2021-12-16,2,0.61,0.52
Jericho Governorate,"5,406",59,"5,331",16,2021-12-16,3,0.65,0.57
Gaza strip,"188,787","1,669","185,391","1,727",2021-12-15,127,0.36,0.28
Hebron Governorate,"49,750",629,"48,438",683,2021-12-15,53,0.6,0.52
Nablus Governorate,"44,890",550,"44,166",174,2021-12-15,18,0.6,0.53
Ramallah and al-Bireh Governorate,"38,841",335,"37,999",507,2021-12-15,76,0.8,0.69
East Jerusalem,"30,356",268,"30,088",0,2021-12-15,0,--,--
Jenin Governorate,"26,058",326,"25,563",169,2021-12-15,17,0.55,0.47
Tulkarm Governorate,"22,764",306,"22,412",46,2021-12-15,0,0.64,0.55
Bethlehem Governorate,"20,098",252,"19,338",508,2021-12-15,80,0.74,0.63
Jerusalem Governorate,"11,725",97,"11,583",45,2021-12-15,7,0.4,0.37
Qalqilya Governorate,"11,087",194,"10,881",12,2021-12-15,0,0.53,0.47
Salfit Governorate,"9,366",101,"9,242",23,2021-12-15,3,0.63,0.52
Tubas Governorate,"6,355",71,"6,233",51,2021-12-15,3,0.61,0.52
Jericho Governorate,"5,403",59,"5,328",16,2021-12-15,2,0.65,0.57
Gaza strip,"188,660","1,669","185,261","1,730",2021-12-14,128,0.36,0.28
Hebron Governorate,"49,697",628,"48,329",740,2021-12-14,76,0.6,0.51
Nablus Governorate,"44,872",550,"44,148",174,2021-12-14,15,0.6,0.53
Ramallah and al-Bireh Governorate,"38,765",335,"37,970",460,2021-12-14,29,0.79,0.69
East Jerusalem,"30,356",268,"30,088",0,2021-12-14,0,--,--
Jenin Governorate,"26,041",326,"25,549",166,2021-12-14,24,0.55,0.46
Tulkarm Governorate,"22,764",305,"22,409",50,2021-12-14,3,0.64,0.54
Bethlehem Governorate,"20,018",252,"19,289",477,2021-12-14,55,0.74,0.63
Jerusalem Governorate,"11,718",97,"11,582",39,2021-12-14,3,0.4,0.37
Qalqilya Governorate,"11,087",194,"10,881",12,2021-12-14,0,0.53,0.47
Salfit Governorate,"9,363",101,"9,242",20,2021-12-14,2,0.63,0.52
Tubas Governorate,"6,352",71,"6,229",52,2021-12-14,6,0.61,0.52
Jericho Governorate,"5,401",59,"5,325",17,2021-12-14,2,0.65,0.56
Gaza strip,"188,393","1,667","185,151","1,575",2021-12-12,74,0.35,0.28
Hebron Governorate,"49,563",626,"48,215",722,2021-12-12,69,0.6,0.49
Nablus Governorate,"44,833",550,"44,124",159,2021-12-12,24,0.6,0.53
Ramallah and al-Bireh Governorate,"38,679",335,"37,914",430,2021-12-12,55,0.79,0.69
East Jerusalem,"30,356",268,"30,088",0,2021-12-12,0,--,--
Jenin Governorate,"26,001",324,"25,525",152,2021-12-12,14,0.55,0.46
Tulkarm Governorate,"22,755",302,"22,404",49,2021-12-12,5,0.63,0.54
Bethlehem Governorate,"19,888",251,"19,218",419,2021-12-12,56,0.73,0.61
Jerusalem Governorate,"11,702",97,"11,574",31,2021-12-12,0,0.39,0.37
Qalqilya Governorate,"11,086",194,"10,881",11,2021-12-12,0,0.53,0.47
Salfit Governorate,"9,358",101,"9,241",16,2021-12-12,2,0.62,0.52
Tubas Governorate,"6,331",71,"6,210",50,2021-12-12,6,0.61,0.52
Jericho Governorate,"5,396",58,"5,320",18,2021-12-12,0,0.64,0.55
Gaza strip,"188,171","1,658","184,991","1,522",2021-12-09,110,0.35,0.28
Hebron Governorate,"49,400",622,"48,026",752,2021-12-09,74,0.6,0.49
Nablus Governorate,"44,786",550,"44,072",164,2021-12-09,15,0.59,0.53
Ramallah and al-Bireh Governorate,"38,565",335,"37,818",412,2021-12-09,34,0.79,0.69
East Jerusalem,"30,356",268,"30,088",0,2021-12-09,0,--,--
Jenin Governorate,"25,956",324,"25,440",192,2021-12-09,8,0.55,0.46
Tulkarm Governorate,"22,740",302,"22,387",51,2021-12-09,2,0.63,0.54
Bethlehem Governorate,"19,752",250,"19,081",421,2021-12-09,45,0.73,0.61
Jerusalem Governorate,"11,696",97,"11,569",30,2021-12-09,3,0.39,0.36
Qalqilya Governorate,"11,086",194,"10,878",14,2021-12-09,1,0.52,0.47
Salfit Governorate,"9,350",101,"9,239",10,2021-12-09,2,0.62,0.52
Tubas Governorate,"6,320",71,"6,185",64,2021-12-09,2,0.61,0.52
Jericho Governorate,"5,395",58,"5,311",26,2021-12-09,0,0.64,0.55
Gaza strip,"188,061","1,657","184,971","1,433",2021-12-08,105,0.35,0.28
Hebron Governorate,"49,326",621,"47,929",776,2021-12-08,60,0.6,0.49
Nablus Governorate,"44,771",550,"44,061",160,2021-12-08,16,0.59,0.53
Ramallah and al-Bireh Governorate,"38,531",335,"37,779",417,2021-12-08,47,0.78,0.69
East Jerusalem,"30,356",268,"30,088",0,2021-12-08,0,--,--
Jenin Governorate,"25,948",324,"25,422",202,2021-12-08,20,0.55,0.46
Tulkarm Governorate,"22,738",302,"22,378",58,2021-12-08,4,0.63,0.54
Bethlehem Governorate,"19,707",248,"19,041",418,2021-12-08,54,0.73,0.61
Jerusalem Governorate,"11,693",97,"11,569",27,2021-12-08,4,0.38,0.36
Qalqilya Governorate,"11,085",194,"10,878",13,2021-12-08,4,0.52,0.47
Salfit Governorate,"9,348",101,"9,239",8,2021-12-08,0,0.61,0.51
Tubas Governorate,"6,318",71,"6,179",68,2021-12-08,4,0.6,0.52
Jericho Governorate,"5,395",58,"5,308",29,2021-12-08,1,0.64,0.55
Gaza strip,"187,956","1,656","184,856","1,444",2021-12-07,114,0.35,0.28
Hebron Governorate,"49,266",619,"47,829",818,2021-12-07,74,0.59,0.49
Nablus Governorate,"44,755",550,"44,048",157,2021-12-07,16,0.59,0.53
Ramallah and al-Bireh Governorate,"38,484",335,"37,748",401,2021-12-07,52,0.78,0.69
East Jerusalem,"30,356",268,"30,088",0,2021-12-07,0,--,--
Jenin Governorate,"25,928",324,"25,397",207,2021-12-07,15,0.55,0.46
Tulkarm Governorate,"22,734",302,"22,370",62,2021-12-07,5,0.63,0.54
Bethlehem Governorate,"19,653",248,"19,012",393,2021-12-07,46,0.72,0.61
Jerusalem Governorate,"11,689",97,"11,566",26,2021-12-07,3,0.38,0.36
Qalqilya Governorate,"11,081",194,"10,878",9,2021-12-07,0,0.52,0.47
Salfit Governorate,"9,348",101,"9,238",9,2021-12-07,2,0.61,0.51
Tubas Governorate,"6,314",71,"6,173",70,2021-12-07,8,0.6,0.52
Jericho Governorate,"5,394",58,"5,304",32,2021-12-07,2,0.64,0.55
Gaza strip,"187,842","1,655","184,739","1,448",2021-12-06,151,0.35,0.28
Hebron Governorate,"49,192",619,"47,783",790,2021-12-06,103,0.59,0.49
Nablus Governorate,"44,739",550,"44,045",144,2021-12-06,23,0.59,0.53
Ramallah and al-Bireh Governorate,"38,432",335,"37,738",359,2021-12-06,32,0.78,0.69
East Jerusalem,"30,356",268,"30,088",0,2021-12-06,0,--,--
Jenin Governorate,"25,913",324,"25,374",215,2021-12-06,13,0.54,0.46
Tulkarm Governorate,"22,729",302,"22,364",63,2021-12-06,4,0.63,0.54
Bethlehem Governorate,"19,607",248,"18,978",381,2021-12-06,53,0.72,0.61
Jerusalem Governorate,"11,686",97,"11,566",23,2021-12-06,0,0.38,0.36
Qalqilya Governorate,"11,081",194,"10,878",9,2021-12-06,1,0.52,0.47
Salfit Governorate,"9,346",101,"9,238",7,2021-12-06,3,0.61,0.51
Tubas Governorate,"6,306",71,"6,167",68,2021-12-06,18,0.6,0.52
Jericho Governorate,"5,392",58,"5,302",32,2021-12-06,1,0.64,0.55
Gaza strip,"187,691","1,654","184,639","1,398",2021-12-05,69,0.35,0.28
Hebron Governorate,"49,089",615,"47,770",704,2021-12-05,77,0.59,0.49
Nablus Governorate,"44,716",550,"44,035",131,2021-12-05,21,0.59,0.53
Ramallah and al-Bireh Governorate,"38,400",335,"37,714",351,2021-12-05,28,0.77,0.68
East Jerusalem,"30,356",268,"30,088",0,2021-12-05,0,--,--
Jenin Governorate,"25,900",324,"25,361",215,2021-12-05,18,0.54,0.46
Tulkarm Governorate,"22,725",302,"22,361",62,2021-12-05,5,0.63,0.54
Bethlehem Governorate,"19,554",248,"18,957",349,2021-12-05,49,0.71,0.61
Jerusalem Governorate,"11,686",97,"11,563",26,2021-12-05,3,0.38,0.36
Qalqilya Governorate,"11,080",194,"10,878",8,2021-12-05,0,0.52,0.47
Salfit Governorate,"9,343",101,"9,238",4,2021-12-05,0,0.61,0.51
Tubas Governorate,"6,288",71,"6,164",53,2021-12-05,4,0.6,0.52
Jericho Governorate,"5,391",58,"5,301",32,2021-12-05,1,0.64,0.55
Gaza strip,"187,463","1,651","184,404","1,408",2021-12-02,99,0.35,0.28
Hebron Governorate,"48,916",614,"47,619",683,2021-12-02,69,0.58,0.49
Nablus Governorate,"44,675",550,"44,000",125,2021-12-02,10,0.58,0.52
Ramallah and al-Bireh Governorate,"38,319",333,"37,633",353,2021-12-02,30,0.77,0.68
East Jerusalem,"30,356",268,"30,088",0,2021-12-02,0,--,--
Jenin Governorate,"25,843",324,"25,306",213,2021-12-02,24,0.53,0.46
Tulkarm Governorate,"22,713",302,"22,354",57,2021-12-02,11,0.63,0.54
Bethlehem Governorate,"19,423",248,"18,878",297,2021-12-02,49,0.71,0.61
Jerusalem Governorate,"11,680",97,"11,559",24,2021-12-02,3,0.37,0.36
Qalqilya Governorate,"11,080",194,"10,870",16,2021-12-02,0,0.52,0.47
Salfit Governorate,"9,342",101,"9,237",4,2021-12-02,0,0.61,0.51
Tubas Governorate,"6,271",71,"6,151",49,2021-12-02,9,0.6,0.52
Jericho Governorate,"5,386",57,"5,293",36,2021-12-02,6,0.64,0.55
Gaza strip,"187,234","1,647","184,154","1,433",2021-11-30,121,0.35,0.28
Hebron Governorate,"48,765",613,"47,526",626,2021-11-30,103,0.58,0.49
Nablus Governorate,"44,650",550,"43,982",118,2021-11-30,24,0.58,0.52
Ramallah and al-Bireh Governorate,"38,249",332,"37,580",337,2021-11-30,30,0.76,0.68
East Jerusalem,"30,356",268,"30,088",0,2021-11-30,0,--,--
Jenin Governorate,"25,791",324,"25,276",191,2021-11-30,22,0.52,0.46
Tulkarm Governorate,"22,698",302,"22,346",50,2021-11-30,9,0.63,0.54
Bethlehem Governorate,"19,327",248,"18,824",255,2021-11-30,39,0.7,0.61
Jerusalem Governorate,"11,673",97,"11,553",23,2021-11-30,1,0.37,0.35
Qalqilya Governorate,"11,080",194,"10,870",16,2021-11-30,0,0.51,0.46
Salfit Governorate,"9,342",101,"9,237",4,2021-11-30,2,0.6,0.51
Tubas Governorate,"6,256",70,"6,142",44,2021-11-30,8,0.6,0.52
Jericho Governorate,"5,378",57,"5,291",30,2021-11-30,1,0.63,0.54
Gaza strip,"186,975","1,643","183,990","1,342",2021-11-28,0,0.34,0.27
Hebron Governorate,"48,558",612,"47,484",462,2021-11-28,0,0.57,0.48
Nablus Governorate,"44,610",549,"43,961",100,2021-11-28,0,0.58,0.52
Ramallah and al-Bireh Governorate,"38,176",331,"37,548",297,2021-11-28,0,0.75,0.68
East Jerusalem,"30,356",268,"30,088",0,2021-11-28,0,--,--
Jenin Governorate,"25,741",324,"25,263",154,2021-11-28,0,0.51,0.46
Tulkarm Governorate,"22,685",302,"22,334",49,2021-11-28,0,0.6,0.53
Bethlehem Governorate,"19,255",248,"18,788",219,2021-11-28,0,0.69,0.6
Jerusalem Governorate,"11,670",97,"11,549",24,2021-11-28,0,0.37,0.35
Qalqilya Governorate,"11,079",194,"10,868",17,2021-11-28,0,0.5,0.46
Salfit Governorate,"9,340",101,"9,236",3,2021-11-28,0,0.58,0.51
Tubas Governorate,"6,239",70,"6,135",34,2021-11-28,0,0.59,0.52
Jericho Governorate,"5,369",57,"5,286",26,2021-11-28,0,0.63,0.54
Gaza strip,"186,772","1,639","183,680","1,453",2021-11-25,86,0.34,0.27
Hebron Governorate,"48,461",611,"47,356",494,2021-11-25,65,0.56,0.48
Nablus Governorate,"44,581",548,"43,951",82,2021-11-25,16,0.58,0.52
Ramallah and al-Bireh Governorate,"38,113",331,"37,493",289,2021-11-25,31,0.74,0.68
East Jerusalem,"30,356",268,"30,088",0,2021-11-25,0,--,--
Jenin Governorate,"25,686",323,"25,244",119,2021-11-25,19,0.5,0.46
Tulkarm Governorate,"22,664",302,"22,322",40,2021-11-25,1,0.59,0.53
Bethlehem Governorate,"19,172",248,"18,739",185,2021-11-25,30,0.67,0.6
Jerusalem Governorate,"11,663",97,"11,544",22,2021-11-25,6,0.37,0.35
Qalqilya Governorate,"11,079",194,"10,866",19,2021-11-25,5,0.49,0.46
Salfit Governorate,"9,338",101,"9,234",3,2021-11-25,0,0.58,0.5
Tubas Governorate,"6,231",70,"6,121",40,2021-11-25,3,0.57,0.52
Jericho Governorate,"5,363",57,"5,279",27,2021-11-25,4,0.63,0.54
Gaza strip,"186,686","1,638","183,570","1,478",2021-11-24,106,0.34,0.27
Hebron Governorate,"48,396",611,"47,346",439,2021-11-24,49,0.54,0.48
Nablus Governorate,"44,565",548,"43,948",69,2021-11-24,13,0.57,0.52
Ramallah and al-Bireh Governorate,"38,082",331,"37,482",269,2021-11-24,25,0.74,0.67
East Jerusalem,"30,356",268,"30,088",0,2021-11-24,0,--,--
Jenin Governorate,"25,667",323,"25,241",103,2021-11-24,16,0.49,0.46
Tulkarm Governorate,"22,663",302,"22,319",42,2021-11-24,7,0.58,0.53
Bethlehem Governorate,"19,142",248,"18,726",168,2021-11-24,25,0.67,0.6
Jerusalem Governorate,"11,657",97,"11,541",19,2021-11-24,3,0.36,0.35
Qalqilya Governorate,"11,074",194,"10,866",14,2021-11-24,1,0.49,0.46
Salfit Governorate,"9,338",101,"9,234",3,2021-11-24,0,0.58,0.5
Tubas Governorate,"6,228",70,"6,120",38,2021-11-24,6,0.56,0.52
Jericho Governorate,"5,359",57,"5,276",26,2021-11-24,6,0.62,0.54
Gaza strip,"186,462","1,633","183,335","1,494",2021-11-22,105,0.39,0.31
Hebron Governorate,"48,302",611,"47,272",419,2021-11-22,47,0.6,0.55
Nablus Governorate,"44,542",548,"43,936",58,2021-11-22,10,0.65,0.59
Ramallah and al-Bireh Governorate,"38,032",331,"37,459",242,2021-11-22,31,0.84,0.77
East Jerusalem,"30,356",268,"30,088",0,2021-11-22,0,--,--
Jenin Governorate,"25,636",323,"25,213",100,2021-11-22,19,0.56,0.52
Tulkarm Governorate,"22,655",302,"22,312",41,2021-11-22,5,0.65,0.6
Bethlehem Governorate,"19,081",246,"18,696",139,2021-11-22,20,0.74,0.68
Jerusalem Governorate,"11,653",97,"11,536",20,2021-11-22,5,0.42,0.4
Qalqilya Governorate,"11,073",194,"10,866",13,2021-11-22,0,0.55,0.52
Salfit Governorate,"9,338",101,"9,233",4,2021-11-22,1,0.65,0.57
Tubas Governorate,"6,220",70,"6,117",33,2021-11-22,6,0.63,0.58
Jericho Governorate,"5,348",57,"5,274",17,2021-11-22,1,0.68,0.6
Gaza strip,"186,357","1,632","183,125","1,600",2021-11-21,60,0.39,0.3
Hebron Governorate,"48,255",611,"47,265",379,2021-11-21,40,0.6,0.55
Nablus Governorate,"44,532",548,"43,933",51,2021-11-21,5,0.65,0.59
Ramallah and al-Bireh Governorate,"38,001",331,"37,447",223,2021-11-21,24,0.84,0.76
East Jerusalem,"30,356",268,"30,088",0,2021-11-21,0,--,--
Jenin Governorate,"25,617",322,"25,208",87,2021-11-21,10,0.56,0.51
Tulkarm Governorate,"22,650",302,"22,309",39,2021-11-21,8,0.65,0.6
Bethlehem Governorate,"19,061",246,"18,693",122,2021-11-21,23,0.74,0.68
Jerusalem Governorate,"11,648",97,"11,533",18,2021-11-21,2,0.41,0.4
Qalqilya Governorate,"11,073",194,"10,864",15th,2021-11-21,0,0.55,0.52
Salfit Governorate,"9,337",101,"9,233",3,2021-11-21,0,0.65,0.56
Tubas Governorate,"6,214",70,"6,116",28,2021-11-21,3,0.63,0.58
Jericho Governorate,"5,347",57,"5,274",16,2021-11-21,0,0.67,0.6
Gaza strip,"186,125","1,627","182,715","1,783",2021-11-18,118,0.39,0.3
Hebron Governorate,"48,171",611,"47,186",374,2021-11-18,45,0.6,0.55
Nablus Governorate,"44,518",548,"43,919",51,2021-11-18,5,0.65,0.58
Ramallah and al-Bireh Governorate,"37,944",331,"37,418",195,2021-11-18,13,0.84,0.76
East Jerusalem,"30,356",268,"30,088",0,2021-11-18,0,--,--
Jenin Governorate,"25,595",321,"25,167",107,2021-11-18,17,0.56,0.51
Tulkarm Governorate,"22,631",302,"22,301",28,2021-11-18,3,0.65,0.6
Bethlehem Governorate,"19,007",245,"18,650",112,2021-11-18,15,0.74,0.68
Jerusalem Governorate,"11,643",97,"11,519",27,2021-11-18,2,0.41,0.39
Qalqilya Governorate,"11,072",193,"10,863",16,2021-11-18,0,0.55,0.52
Salfit Governorate,"9,337",101,"9,233",3,2021-11-18,1,0.65,0.56
Tubas Governorate,"6,206",69,"6,095",42,2021-11-18,1,0.63,0.58
Jericho Governorate,"5,345",57,"5,268",20,2021-11-18,1,0.67,0.59
Gaza strip,"185,860","1,624","182,255","1,981",2021-11-16,23,0.39,0.29
Hebron Governorate,"48,085",611,"47,128",346,2021-11-16,18,0.59,0.54
Nablus Governorate,"44,503",546,"43,903",54,2021-11-16,3,0.65,0.58
Ramallah and al-Bireh Governorate,"37,908",331,"37,393",184,2021-11-16,18,0.84,0.76
East Jerusalem,"30,356",268,"30,088",0,2021-11-16,0,--,--
Jenin Governorate,"25,571",320,"25,130",121,2021-11-16,2,0.55,0.51
Tulkarm Governorate,"22,624",302,"22,293",29,2021-11-16,4,0.65,0.6
Bethlehem Governorate,"18,976",245,"18,620",111,2021-11-16,14,0.73,0.67
Jerusalem Governorate,"11,638",97,"11,510",31,2021-11-16,0,0.41,0.39
